,name,url,video_id,playlist_id,video_title,channel_title,pubdate,duration,has_captions,view_count
0,Academic Technology Group,https://www.youtube.com/watch?v=_KgTwXRwpkM&feature=youtu.be,_KgTwXRwpkM,,Uploading files to Canvas,Harvard AcademicTechnology,2015-02-13T04:07:40.000Z,105.0,False,212.0
1,Academic Technology Group,https://www.youtube.com/watch?v=LQ6cOU8PC9c&feature=youtu.be,LQ6cOU8PC9c,,KeynoteAudio,Harvard AcademicTechnology,2015-02-13T04:07:39.000Z,79.0,False,24.0
2,Academic Technology Group,https://www.youtube.com/watch?v=F0Y7QK4eV9E&feature=youtu.be,F0Y7QK4eV9E,,PowerpointAudio,Harvard AcademicTechnology,2015-02-13T04:07:37.000Z,121.0,False,59.0
3,Achievement Gap Initiative,https://www.youtube.com/embed/9lsDJnlJqoY,9lsDJnlJqoY,,Education gap: The root of inequality,Harvard University,2016-02-17T22:49:41.000Z,355.0,False,73368.0
4,Achievement Gap Initiative,http://www.youtube.com/embed/AJlPan6TgTk?feature=player_detailpage,AJlPan6TgTk,,Pathways to Prosperity Conference,HarvardEducation,2013-03-25T19:00:09.000Z,187.0,False,2572.0
5,Advanced Leadership Initiative,https://www.youtube.com/embed/woQIfeMngHo?rel=0,woQIfeMngHo,,Advanced Leadership Initiative Overview Video,Harvard Advanced Leadership Initiative,2017-12-01T16:06:01.000Z,300.0,False,4727.0
6,Advanced Leadership Initiative,https://www.youtube.com/embed/9Xs4FE11UdQ?rel=0,9Xs4FE11UdQ,,The ALI Coalition,Harvard Advanced Leadership Initiative,2016-11-10T16:18:23.000Z,121.0,False,582.0
7,Advanced Leadership Initiative,https://www.youtube.com/embed/C1p5vAAmxeM?version=3&rel=0&fs=1&autohide=1&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent&modestbranding=1,C1p5vAAmxeM,,Harvard students come face to face with refugees,Harvard University,2017-11-07T21:08:10.000Z,154.0,True,11150.0
8,African and African American Studies,http://www.youtube.com/watch?v=Fw_SRrCXQ34,Fw_SRrCXQ34,,Project Sygma,vrvi321,2012-07-05T13:25:36.000Z,128.0,False,335.0
9,Afro-Latin American Research Institute,https://www.youtube.com/watch?v=q8jNDXC_hhU,q8jNDXC_hhU,,"Doris Sommer: ""Cultural Agents All"" | Harvard Thinks Big 4",Harvard University,2013-02-28T21:41:48.000Z,680.0,False,5934.0
10,Afro-Latin American Research Institute,https://www.youtube.com/watch?v=Gxv35oDW9ek,Gxv35oDW9ek,,"Forests run amok: violence, spirits and fear | Daniel Ruiz-Serna",SSHRC-CRSH,2015-04-01T14:08:02.000Z,181.0,False,913.0
11,Anthropology,https:/www.youtube.com/watch?v=u-e08RuHEJc,u-e08RuHEJc,,Harvard Female Orator Bessie Zhang | Harvard Commencement 2017,Harvard University,2017-05-24T20:57:51.000Z,376.0,False,29634.0
12,Arnold Arboretum,https://www.youtube.com/watch?v=yV4FdnBfsjA,yV4FdnBfsjA,,Head-banging bees,Harvard University,2016-02-03T11:00:02.000Z,32.0,False,9043.0
13,Arnold Arboretum,https://www.youtube.com/embed/iElgM1NWDoA?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent,iElgM1NWDoA,,Time-lapse video of hops,Arnold Arboretum,2011-11-02T16:15:11.000Z,93.0,False,7118.0
14,Arnold Arboretum,https://www.youtube.com/watch?v=ym3lYJnFA1A&feature=youtu.be,ym3lYJnFA1A,,Air Spade,Arnold Arboretum,2011-09-21T14:17:49.000Z,111.0,False,20274.0
15,Arnold Arboretum,https://www.youtube.com/watch?v=mrD4svRwCno,mrD4svRwCno,,Tree Spotter Refresher Training 3/5/17,Tree Spotters,2017-03-06T02:37:32.000Z,4450.0,False,34.0
16,Arnold Arboretum,https://www.youtube.com/watch?v=lkcJs-pZfSI,lkcJs-pZfSI,,Botany Blast: Seeing Climate Change in Your Backyard (Part 2),Tree Spotters,2017-01-29T22:29:13.000Z,2118.0,False,22.0
17,Arnold Arboretum,https://www.youtube.com/watch?v=-fD0smCL81s,-fD0smCL81s,,Holiday Potluck 2017,Tree Spotters,2018-02-05T16:32:59.000Z,114.0,False,8.0
18,Arnold Arboretum,https://www.youtube.com/watch?v=I0u9ASC9P-E,I0u9ASC9P-E,,Austrobaileya scandens Flowering,Arnold Arboretum,2017-04-25T14:40:04.000Z,46.0,False,368.0
19,Arnold Arboretum,https://www.youtube.com/watch?v=uU5GyVC1rII&feature=youtu.be,uU5GyVC1rII,,Video Tutorial: Downloading and using the Nature's Notebook phone app,Tree Spotters,2018-03-19T01:54:15.000Z,479.0,False,27.0
20,Arnold Arboretum,https://www.youtube.com/watch?v=Lvb594fKEhk&feature=youtu.be,Lvb594fKEhk,,Video Tutorial: Entering and editing data in Nature's Notebook,Tree Spotters,2018-02-05T03:37:56.000Z,516.0,False,47.0
